announcement_date,fiscal_quarter_end,eps_estimate,eps_actual,eps_surprise_pct,vxapl_close,aapl_close,iv_var,pre_rv20_var,post_rv20_var,post_rv5_var,vrp20,vrp5,iv_runup_5,market_term_slope,event_gap,abs_event_gap,has_pre_rv20,has_iv_runup_5,hist_abs_gap_4,hist_abs_eps_surprise_4,has_hist_abs_gap_4,vxapl_implied_vol,post_rv20_vol,pre_rv20_vol
2015-01-27,2014-12-31,0.65,0.76,0.16923077,42.25,24.30485916,0.17850624999999998,0.09122045306081687,0.09093624396820643,0.2185855659174765,0.08757000603179355,-0.040079315917476516,0.11154959221257577,-0.0033999999999999985,0.07491261876582912,0.07491261876582912,True,True,,,False,42.25,30.155636947046304,30.202723893850514
2015-04-27,2015-03-31,0.55,0.58,0.05454545,34.34,29.65699768,0.11792356000000002,0.034236597318470896,0.056974247984721574,0.1071853833925664,0.06094931201527845,0.01073817660743362,0.05759162303664933,0.003999999999999986,0.0135525558619989,0.0135525558619989,True,True,0.07491261876582912,0.16923077,True,34.34,23.86927899722184,18.503134144914718
2015-07-21,2015-06-30,0.45,0.46,0.02222222,29.26,29.35430908,0.08561476000000001,0.04449234805985707,0.10677752996173907,0.10665089126047828,-0.02116276996173906,-0.021036131260478264,0.06245461147421949,0.009000000000000003,-0.06934809664079807,0.06934809664079807,True,True,0.04423258731391401,0.11188811,True,29.26,32.67683123586788,21.093209348000382
2015-10-27,2015-09-30,0.47,0.49,0.04255319,40.09,25.83369827,0.16072081000000002,0.051642778310412876,0.07362269738710324,0.10782920939707388,0.08709811261289678,0.052891600602926137,0.12139860139860148,-0.00879999999999999,0.020563808535741104,0.020563808535741104,True,True,0.0526044237562087,0.08199948,True,40.09,27.13350279398206,22.72504748298953
2016-01-26,2015-12-31,0.81,0.82,0.01234568,40.36,22.64660263,0.16289296,0.11682754956509299,0.1249502945741908,0.31898011853141545,0.03794266542580921,-0.15608715853141544,0.006232859636001065,-0.0175,-0.04030523737853926,0.04030523737853926,True,True,0.0445942699510918,0.0721379075,True,40.36,35.34830895165861,34.18004528450672
2016-04-26,2016-03-31,0.49,0.47,-0.04081633,30.53,23.76234055,0.09320809000000001,0.0348175227247824,0.10585615681017214,0.2792415296386971,-0.012648066810172137,-0.18603343963869706,-0.011013929381276322,0.004600000000000009,-0.08340231766102567,0.08340231766102567,True,True,0.03594242460426933,0.032916635,True,30.53,32.535543150556464,18.659454098333743
2016-07-26,2016-06-30,0.35,0.35,0.0,26.15,22.14749336,0.06838225,0.02013878873841222,0.06883716241161594,0.23545327486880602,-0.00045491241161593754,-0.167071024868806,0.10012620950778284,0.010700000000000003,0.07568050446766858,0.07568050446766858,True,True,0.05340486505402603,0.029484355,True,26.150000000000002,26.236837159157723,14.191120018663861
2016-10-25,2016-09-30,0.41,0.42,0.02439024,26.33,27.23832512,0.06932688999999999,0.012784111246776808,0.050594963520609174,0.04987625186021815,0.018731926479390815,0.019450638139781838,-0.055595408895265486,0.015600000000000004,-0.033887184699755164,0.033887184699755164,True,True,0.054987967010743655,0.0239288,True,26.33,22.49332423645051,11.306684415325655
2017-01-31,2016-12-31,0.81,0.84,0.03703704,22.97,28.09590721,0.05276209,0.007883449460860467,0.05711347717993473,0.18657007199728015,-0.004351387179934732,-0.13380798199728017,0.030506953790937708,0.002200000000000006,0.04574408742624205,0.04574408742624205,True,True,0.05831881105174717,0.019388062499999997,True,22.97,23.898426136449807,8.87887913019457
2017-05-02,2017-03-31,0.5,0.52,0.04,22.4,34.30073547,0.05017599999999999,0.013545443507718167,0.0359763098737315,0.05308339426443901,0.01419969012626849,-0.00290739426443902,0.06413301662707838,0.0009999999999999966,-0.013101242679982833,0.013101242679982833,True,True,0.05967852356367286,0.025560902499999996,True,22.4,18.967422037201445,11.638489381237656
2017-08-01,2017-06-30,0.39,0.42,0.07692308,27.41,35.03540421,0.07513081,0.016514944206454375,0.06368705752852283,0.12898476587471946,0.011443752471477178,-0.05385395587471946,0.06446601941747576,0.011600000000000001,0.05969491927523928,0.05969491927523928,True,True,0.04210325481841216,0.025356820000000002,True,27.41,25.23629480104455,12.851048286600738
2017-11-02,2017-09-30,0.47,0.52,0.10638298,30.27,39.40640259,0.09162728999999999,0.0411097080303441,0.03299128438714782,0.04270227748589664,0.05863600561285216,0.04892501251410335,0.14833080424886202,0.013900000000000006,0.0344364813286466,0.0344364813286466,True,True,0.038106858520304834,0.04458759,True,30.269999999999996,18.163503072686122,20.275529100456072
2018-02-01,2017-12-31,0.95,0.97,0.02105263,34.01,39.47041321,0.11566800999999997,0.022123907387065437,0.12508238732273808,0.27876238914745793,-0.009414377322738102,-0.16309437914745795,0.14050972501676728,-0.003899999999999988,-0.01066591316569745,0.01066591316569745,True,True,0.03824418267752769,0.065085775,True,34.01,35.366988467034915,14.874107498288911
2018-05-01,2018-03-31,0.67,0.68,0.01492537,28.98,39.94314575,0.08398404,0.07158075749921673,0.05094031702311645,0.17276036977212522,0.033043722976883544,-0.08877632977212523,-0.11049723756906071,-0.0020999999999999908,0.035609118112533825,0.035609118112533825,True,True,0.029474639112391544,0.061089672500000004,True,28.98,22.56996167987807,26.754580448816
2018-07-31,2018-06-30,0.54,0.58,0.07407407,29.64,45.12175751,0.08785296,0.022423573082478533,0.06569209553809408,0.21321459368828277,0.02216086446190592,-0.1253616336882828,0.26396588486140726,0.011899999999999996,0.04540884337565403,0.04540884337565403,True,True,0.03510160797052929,0.054821014999999994,True,29.64,25.630469277423323,14.974502690399616
2018-11-01,2018-09-30,0.7,0.73,0.04285714,46.86,52.87784576,0.21958596000000002,0.11491528394303957,0.22228393238985777,0.3306463083852684,-0.00269797238985775,-0.11106034838526835,0.253276277079433,-0.021999999999999992,-0.05870564366491005,0.05870564366491005,True,True,0.03153008899563298,0.054108762500000004,True,46.86,47.146996976462646,33.89915691326844
