Date,Strategy,SPY
2023-01-03,0.0,0.0
2023-01-04,0.0,0.007720201791125092
2023-01-05,0.0,-0.011413367149978204
2023-01-06,0.0,0.022932197868833493
2023-01-09,0.0,-0.0005668858246881125
2023-01-10,0.0,0.007012536163275351
2023-01-11,0.0,0.01264800320189785
2023-01-12,0.0,0.003640823803058746
2023-01-13,0.0,0.0038794324712942974
2023-01-17,0.0,-0.0018319071239987217
2023-01-18,0.0,-0.015787904410342835
2023-01-19,0.0,-0.007279971388174933
2023-01-20,0.0,0.018629117499697534
2023-01-23,0.0,0.011998576243338333
2023-01-24,0.0,-0.001073240968647804
2023-01-25,0.0,0.0003749054661632556
2023-01-26,0.0,0.010990155982264493
2023-01-27,0.0,0.0022977953859733002
2023-01-30,0.0,-0.0125466717006818
2023-01-31,0.0,0.014703161771349116
2023-02-01,0.0,0.010627887549920834
2023-02-02,-0.005411350385641444,0.014556746207817772
2023-02-03,-0.009257234795000032,-0.010629049089082465
2023-02-06,0.0013967486818277826,-0.0061112957538348445
2023-02-07,0.0005951440391989507,0.013078689489489426
2023-02-08,-0.009129134474269995,-0.01093487954451866
2023-02-09,-0.00894500272555776,-0.008669125076817275
2023-02-10,0.012865613673602356,0.0023339011350729244
2023-02-13,0.008577443512427063,0.01173861977434476
2023-02-14,-0.006416499496832872,-0.00046007370456513375
2023-02-15,0.0011438319471083203,0.00324744509078978
2023-02-16,-0.008279903397433452,-0.013768877902945786
2023-02-17,0.010880487283650542,-0.002498138727568211
2023-02-21,-0.011815795717858549,-0.020061021755878983
2023-02-22,-0.002915066115861527,-0.0013779170676261332
2023-02-23,-0.0012536593920588295,0.005319307822897246
2023-02-24,-0.00643266825487776,-0.010682455848828432
2023-02-27,-0.0036302880416580288,0.0034058616506291717
2023-02-28,-0.011069652221139129,-0.003695863428710422
2023-03-01,-0.00849032318555191,-0.0038359456279313253
2023-03-02,0.012925644987654323,0.007777193029124163
2023-03-03,0.017112589309541775,0.01603783484897159
2023-03-06,-0.002117903883057585,0.0006928204409035743
2023-03-07,-0.01837872327133331,-0.015328869758027941
2023-03-08,0.0066352636492753945,0.0016321427380827647
2023-03-09,-0.018225999999614308,-0.018449874810535727
2023-03-10,-0.019202392285337155,-0.014429370819408427
2023-03-13,0.011177681932275677,-0.001425390543362881
2023-03-14,0.013492165662588224,0.016530138507036662
2023-03-15,0.004209819200870675,-0.006254228527553418
2023-03-16,0.00825378626204576,0.017545197336429785
