as_of_date,model_name,expected_variance,median_variance,lower_quantile,upper_quantile,monte_carlo_standard_error,heston_used,heston_failure
2022-01-03,ensemble,0.01731758089180826,0.01731758089180826,0.01731758089180826,0.01731758089180826,0.0,True,
2022-01-04,ensemble,0.018003965611801127,0.018003965611801127,0.018003965611801127,0.018003965611801127,0.0,True,
2022-01-05,ensemble,0.017539066402457427,0.017539066402457427,0.017539066402457427,0.017539066402457427,0.0,True,
2022-01-06,ensemble,0.017524013404682792,0.017524013404682792,0.017524013404682792,0.017524013404682792,0.0,True,
2022-01-07,ensemble,0.017276077604579963,0.017276077604579963,0.017276077604579963,0.017276077604579963,0.0,True,
2022-01-10,ensemble,0.01727321165912781,0.01727321165912781,0.01727321165912781,0.01727321165912781,0.0,True,
2022-01-11,ensemble,0.01732902992458088,0.01732902992458088,0.01732902992458088,0.01732902992458088,0.0,True,
2022-01-12,ensemble,0.01744591947832179,0.01744591947832179,0.01744591947832179,0.01744591947832179,0.0,True,
2022-01-13,ensemble,0.017625530629139723,0.017625530629139723,0.017625530629139723,0.017625530629139723,0.0,True,
2022-01-14,ensemble,0.018076160612321673,0.018076160612321673,0.018076160612321673,0.018076160612321673,0.0,True,
2022-01-18,ensemble,0.017654463404988243,0.017654463404988243,0.017654463404988243,0.017654463404988243,0.0,True,
2022-01-19,ensemble,0.01776909836866737,0.01776909836866737,0.01776909836866737,0.01776909836866737,0.0,True,
2022-01-20,ensemble,0.01785999908558343,0.01785999908558343,0.01785999908558343,0.01785999908558343,0.0,True,
2022-01-21,ensemble,0.018197730804424116,0.018197730804424116,0.018197730804424116,0.018197730804424116,0.0,True,
2022-01-24,ensemble,0.020937661643546795,0.020937661643546795,0.020937661643546795,0.020937661643546795,0.0,True,
2022-01-25,ensemble,0.018592995187864624,0.018592995187864624,0.018592995187864624,0.018592995187864624,0.0,True,
2022-01-26,ensemble,0.0199060677334243,0.0199060677334243,0.0199060677334243,0.0199060677334243,0.0,True,
2022-01-27,ensemble,0.019159733945936355,0.019159733945936355,0.019159733945936355,0.019159733945936355,0.0,True,
2022-01-28,ensemble,0.019390978732491505,0.019390978732491505,0.019390978732491505,0.019390978732491505,0.0,True,
2022-01-31,ensemble,0.018621246413373163,0.018621246413373163,0.018621246413373163,0.018621246413373163,0.0,True,
2022-02-01,ensemble,0.01913173713302215,0.01913173713302215,0.01913173713302215,0.01913173713302215,0.0,True,
2022-02-02,ensemble,0.0186582976279883,0.0186582976279883,0.0186582976279883,0.0186582976279883,0.0,True,
2022-02-03,ensemble,0.019394915421966304,0.019394915421966304,0.019394915421966304,0.019394915421966304,0.0,True,
2022-02-04,ensemble,0.019113207165820857,0.019113207165820857,0.019113207165820857,0.019113207165820857,0.0,True,
2022-02-07,ensemble,0.01926775486687005,0.01926775486687005,0.01926775486687005,0.01926775486687005,0.0,True,
2022-02-08,ensemble,0.019281951777246117,0.019281951777246117,0.019281951777246117,0.019281951777246117,0.0,True,
2022-02-09,ensemble,0.019544028989799116,0.019544028989799116,0.019544028989799116,0.019544028989799116,0.0,True,
2022-02-10,ensemble,0.01974664057632916,0.01974664057632916,0.01974664057632916,0.01974664057632916,0.0,True,
2022-02-11,ensemble,0.02012957364856845,0.02012957364856845,0.02012957364856845,0.02012957364856845,0.0,True,
2022-02-14,ensemble,0.020536060508164672,0.020536060508164672,0.020536060508164672,0.020536060508164672,0.0,True,
2022-02-15,ensemble,0.020686330806593465,0.020686330806593465,0.020686330806593465,0.020686330806593465,0.0,True,
2022-02-16,ensemble,0.020840155141085677,0.020840155141085677,0.020840155141085677,0.020840155141085677,0.0,True,
2022-02-17,ensemble,0.021041967011425095,0.021041967011425095,0.021041967011425095,0.021041967011425095,0.0,True,
2022-02-18,ensemble,0.021500030999172443,0.021500030999172443,0.021500030999172443,0.021500030999172443,0.0,True,
2022-02-22,ensemble,0.023761200071479197,0.023761200071479197,0.023761200071479197,0.023761200071479197,0.0,True,
2022-02-23,ensemble,0.02147976546458387,0.02147976546458387,0.02147976546458387,0.02147976546458387,0.0,True,
2022-02-24,ensemble,0.0239215081324202,0.0239215081324202,0.0239215081324202,0.0239215081324202,0.0,True,
2022-02-25,ensemble,0.022059542655118027,0.022059542655118027,0.022059542655118027,0.022059542655118027,0.0,True,
2022-02-28,ensemble,0.022346903036254293,0.022346903036254293,0.022346903036254293,0.022346903036254293,0.0,True,
2022-03-01,ensemble,0.022376124306178302,0.022376124306178302,0.022376124306178302,0.022376124306178302,0.0,True,
2022-03-02,ensemble,0.023357482217658737,0.023357482217658737,0.023357482217658737,0.023357482217658737,0.0,True,
2022-03-03,ensemble,0.0218985492375017,0.0218985492375017,0.0218985492375017,0.0218985492375017,0.0,True,
2022-03-04,ensemble,0.02260835479931296,0.02260835479931296,0.02260835479931296,0.02260835479931296,0.0,True,
2022-03-07,ensemble,0.02308596738596647,0.02308596738596647,0.02308596738596647,0.02308596738596647,0.0,True,
2022-03-08,ensemble,0.023304200828958455,0.023304200828958455,0.023304200828958455,0.023304200828958455,0.0,True,
2022-03-09,ensemble,0.02357270194960761,0.02357270194960761,0.02357270194960761,0.02357270194960761,0.0,True,
2022-03-10,ensemble,0.023631075408586513,0.023631075408586513,0.023631075408586513,0.023631075408586513,0.0,True,
2022-03-11,ensemble,0.02356624631079123,0.02356624631079123,0.02356624631079123,0.02356624631079123,0.0,True,
2022-03-14,ensemble,0.023896798173759233,0.023896798173759233,0.023896798173759233,0.023896798173759233,0.0,True,
2022-03-15,ensemble,0.02518848995376691,0.02518848995376691,0.02518848995376691,0.02518848995376691,0.0,True,
2022-03-16,ensemble,0.024784553583051462,0.024784553583051462,0.024784553583051462,0.024784553583051462,0.0,True,
2022-03-17,ensemble,0.024999972099042873,0.024999972099042873,0.024999972099042873,0.024999972099042873,0.0,True,
2022-03-18,ensemble,0.02493497678064266,0.02493497678064266,0.02493497678064266,0.02493497678064266,0.0,True,
2022-03-21,ensemble,0.02497382233591351,0.02497382233591351,0.02497382233591351,0.02497382233591351,0.0,True,
2022-03-22,ensemble,0.025037373287797295,0.025037373287797295,0.025037373287797295,0.025037373287797295,0.0,True,
