as_of_date,direction,implied_variance,forecast_variance,variance_edge,variance_risk_premium,zscore,regime,entry_threshold,approved,model_name
2022-01-03,flat,0.027515842641,0.01731758089180826,-0.01019826174919174,0.01019826174919174,,normal_vol__flat,0.75,True,ensemble
2022-01-04,flat,0.028530250281,0.018003965611801127,-0.010526284669198874,0.010526284669198874,,normal_vol__flat,0.75,True,ensemble
2022-01-05,flat,0.039003090064,0.017539066402457427,-0.02146402366154257,0.02146402366154257,,high_vol__flat,0.9375,True,ensemble
2022-01-06,flat,0.0384434449,0.017524013404682792,-0.020919431495317206,0.020919431495317206,,normal_vol__flat,0.75,True,ensemble
2022-01-07,flat,0.035209895449,0.017276077604579963,-0.01793381784442004,0.01793381784442004,,normal_vol__flat,0.75,True,ensemble
2022-01-10,flat,0.03754100002500001,0.01727321165912781,-0.020267788365872196,0.020267788365872196,,normal_vol__flat,0.75,True,ensemble
2022-01-11,flat,0.033849376324,0.01732902992458088,-0.01652034639941912,0.01652034639941912,,normal_vol__flat,0.75,True,ensemble
2022-01-12,flat,0.031049611681,0.01744591947832179,-0.013603692202678212,0.013603692202678212,,normal_vol__flat,0.75,True,ensemble
2022-01-13,flat,0.041149745316000005,0.017625530629139723,-0.023524214686860282,0.023524214686860282,,normal_vol__flat,0.75,True,ensemble
2022-01-14,flat,0.03677228112099999,0.018076160612321673,-0.01869612050867832,0.01869612050867832,,normal_vol__flat,0.75,True,ensemble
2022-01-18,flat,0.052072501636,0.017654463404988243,-0.03441803823101176,0.03441803823101176,,normal_vol__flat,0.75,True,ensemble
2022-01-19,flat,0.056806908964,0.01776909836866737,-0.03903781059533263,0.03903781059533263,,normal_vol__flat,0.75,True,ensemble
2022-01-20,flat,0.065396809984,0.01785999908558343,-0.047536810898416576,0.047536810898416576,,normal_vol__flat,0.75,True,ensemble
2022-01-21,flat,0.08322301825600001,0.018197730804424116,-0.06502528745157589,0.06502528745157589,,normal_vol__flat,0.75,True,ensemble
2022-01-24,flat,0.08932327690000001,0.020937661643546795,-0.06838561525645322,0.06838561525645322,,normal_vol__flat,0.75,True,ensemble
2022-01-25,flat,0.09734712002499998,0.018592995187864624,-0.07875412483713536,0.07875412483713536,,normal_vol__flat,0.75,True,ensemble
2022-01-26,flat,0.102359044096,0.0199060677334243,-0.0824529763625757,0.0824529763625757,,normal_vol__flat,0.75,True,ensemble
2022-01-27,flat,0.09308845081599999,0.019159733945936355,-0.07392871687006364,0.07392871687006364,,normal_vol__flat,0.75,True,ensemble
2022-01-28,flat,0.07648653984399999,0.019390978732491505,-0.057095561111508486,0.057095561111508486,,high_vol__flat,0.9375,True,ensemble
2022-01-31,flat,0.061623097599999996,0.018621246413373163,-0.04300185118662683,0.04300185118662683,,high_vol__flat,0.9375,True,ensemble
2022-02-01,flat,0.048211424041,0.01913173713302215,-0.029079686907977846,0.029079686907977846,,high_vol__flat,0.9375,True,ensemble
2022-02-02,flat,0.048886536609,0.0186582976279883,-0.030228238981011697,0.030228238981011697,,high_vol__flat,0.9375,True,ensemble
2022-02-03,flat,0.05916472464400001,0.019394915421966304,-0.0397698092220337,0.0397698092220337,,high_vol__flat,0.9375,True,ensemble
2022-02-04,flat,0.053830496196,0.019113207165820857,-0.03471728903017914,0.03471728903017914,,high_vol__flat,0.9375,True,ensemble
2022-02-07,flat,0.052331137599999994,0.01926775486687005,-0.03306338273312995,0.03306338273312995,,high_vol__flat,0.9375,True,ensemble
