as_of_date,kappa,theta,xi,rho,v0,mu,model,window_start,window_end,n_observations,calibration_loss,optimizer_success
2017-08-21,2.0,0.017371754880653012,0.3,-0.5,0.017371754880653012,0.11201752071996357,heston,2015-08-21,2017-08-21,503,0.0,False
2017-08-28,2.0,0.015478128286714816,0.3,-0.5,0.015478128286714816,0.11033798120017932,heston,2015-08-28,2017-08-28,503,0.0,False
2017-09-05,2.0,0.014728588083050206,0.3,-0.5,0.014728588083050206,0.13011376041800096,heston,2015-09-04,2017-09-05,503,0.0,False
2017-09-11,2.0,0.014370420270444283,0.3,-0.5,0.014370420270444283,0.12562664018987135,heston,2015-09-11,2017-09-11,503,0.0,False
2017-09-18,2.0,0.014021045834265783,0.3,-0.5,0.014021045834265783,0.12977194614686238,heston,2015-09-18,2017-09-18,503,0.0,False
2017-09-25,2.0,0.013915320707358354,0.3,-0.5,0.013915320707358354,0.1348409208764906,heston,2015-09-25,2017-09-25,503,0.0,False
2017-10-02,2.0,0.013328339333722756,0.3,-0.5,0.013328339333722756,0.1357696135874326,heston,2015-10-02,2017-10-02,503,0.0,False
2017-10-09,2.0,0.013127145850836967,0.3,-0.5,0.013127145850836967,0.12289040233111871,heston,2015-10-09,2017-10-09,503,0.0,False
2017-10-16,2.0,0.012977614434500679,0.3,-0.5,0.012977614434500679,0.1206478178432305,heston,2015-10-16,2017-10-16,503,0.0,False
2017-10-23,2.0,0.012786480671530574,0.3,-0.5,0.012786480671530574,0.11181616701419483,heston,2015-10-23,2017-10-23,503,0.0,False
2017-10-30,2.0,0.01276264042872104,0.3,-0.5,0.01276264042872104,0.11204164582288453,heston,2015-10-30,2017-10-30,503,0.0,False
2017-11-06,2.0,0.012693483604999044,0.3,-0.5,0.012693483604999044,0.11102982361903933,heston,2015-11-06,2017-11-06,503,0.0,False
2017-11-13,2.0,0.01246899083097686,0.3,-0.5,0.01246899083097686,0.1281265644949221,heston,2015-11-13,2017-11-13,503,0.0,False
2017-11-20,2.0,0.012295028791009605,0.3,-0.5,0.012295028791009605,0.11150729728766523,heston,2015-11-20,2017-11-20,503,0.0,False
2017-11-27,2.0,0.012314670643534104,0.3,-0.5,0.012314670643534104,0.11465047990679712,heston,2015-11-27,2017-11-27,503,0.0,False
2017-12-04,2.0,0.012006702203115824,0.3,-0.5,0.012006702203115824,0.12182460411180468,heston,2015-12-04,2017-12-04,503,0.0,False
2017-12-11,2.0,0.011746780511691023,0.3,-0.5,0.011746780511691023,0.14464251696284672,heston,2015-12-11,2017-12-11,503,0.0,False
2017-12-18,2.0,0.011194033614347657,0.3,-0.5,0.011194033614347657,0.15254438389704614,heston,2015-12-18,2017-12-18,503,0.0,False
2017-12-26,2.0,0.011065981670316354,0.3,-0.5,0.011065981670316354,0.13775842827345672,heston,2015-12-28,2017-12-26,503,0.0,False
2018-01-02,2.0,0.010853984576511606,0.3,-0.5,0.010853984576511606,0.15094350021448527,heston,2016-01-04,2018-01-02,503,0.0,False
2018-01-08,2.0,0.010425191598061623,0.3,-0.5,0.010425191598061623,0.18343713743681722,heston,2016-01-08,2018-01-08,503,0.0,False
2018-01-16,2.0,0.009745352376465925,0.3,-0.5,0.009745352376465925,0.19949802939340958,heston,2016-01-15,2018-01-16,503,0.0,False
2018-01-22,2.0,0.009523349296514086,0.3,-0.5,0.009523349296514086,0.20245077239862877,heston,2016-01-22,2018-01-22,503,0.0,False
2018-01-29,2.0,0.009048398535678298,0.3,-0.5,0.009048398535678298,0.19738074876820752,heston,2016-01-29,2018-01-29,503,0.0,False
2018-02-05,2.0,0.009923832383987684,0.3,-0.5,0.009923832383987684,0.17505337247121647,heston,2016-02-05,2018-02-05,503,0.0,False
2018-02-12,2.0,0.010685512028218816,0.3,-0.5,0.010685512028218816,0.18163452892468684,heston,2016-02-12,2018-02-12,503,0.0,False
2018-02-20,2.0,0.01050841357286783,0.3,-0.5,0.01050841357286783,0.1714454667837786,heston,2016-02-22,2018-02-20,503,0.0,False
2018-02-26,2.0,0.01053208904136297,0.3,-0.5,0.01053208904136297,0.18251996224146402,heston,2016-02-26,2018-02-26,503,0.0,False
2018-03-05,2.0,0.010556966737755141,0.3,-0.5,0.010556966737755141,0.15860034002399906,heston,2016-03-04,2018-03-05,503,0.0,False
2018-03-12,2.0,0.010513079587457778,0.3,-0.5,0.010513079587457778,0.16430554144480197,heston,2016-03-11,2018-03-12,503,0.0,False
2018-03-19,2.0,0.010627978931194777,0.3,-0.5,0.010627978931194777,0.14571963351388154,heston,2016-03-18,2018-03-19,503,0.0,False
2018-03-26,2.0,0.011536157658672006,0.3,-0.5,0.011536157658672006,0.13891089481953026,heston,2016-03-28,2018-03-26,503,0.0,False
2018-04-02,2.0,0.01195279874277302,0.3,-0.5,0.01195279874277302,0.11547914839400335,heston,2016-04-01,2018-04-02,503,0.0,False
2018-04-09,2.0,0.01218595156933734,0.3,-0.5,0.01218595156933734,0.12831364903444648,heston,2016-04-08,2018-04-09,503,0.0,False
2018-04-16,2.0,0.01229519849592445,0.3,-0.5,0.01229519849592445,0.1324001115896898,heston,2016-04-15,2018-04-16,503,0.0,False
2018-04-23,2.0,0.012363867854204954,0.3,-0.5,0.012363867854204954,0.12814701427855107,heston,2016-04-22,2018-04-23,503,0.0,False
2018-04-30,2.0,0.012477315311485947,0.3,-0.5,0.012477315311485947,0.13068475035306334,heston,2016-04-29,2018-04-30,503,0.0,False
2018-05-07,2.0,0.012494597443689873,0.3,-0.5,0.012494597443689873,0.13672266197518498,heston,2016-05-06,2018-05-07,503,0.0,False
2018-05-14,2.0,0.012414587536292298,0.3,-0.5,0.012414587536292298,0.1502731240889098,heston,2016-05-13,2018-05-14,503,0.0,False
2018-05-21,2.0,0.01236180714455252,0.3,-0.5,0.01236180714455252,0.14917903902303284,heston,2016-05-20,2018-05-21,503,0.0,False
2018-05-29,2.0,0.012345855230447587,0.3,-0.5,0.012345855230447587,0.12968598870471837,heston,2016-05-27,2018-05-29,503,0.0,False
2018-06-04,2.0,0.012488163515202468,0.3,-0.5,0.012488163515202468,0.14049416057157396,heston,2016-06-03,2018-06-04,503,0.0,False
2018-06-11,2.0,0.012454753891255608,0.3,-0.5,0.012454753891255608,0.14760422031162604,heston,2016-06-10,2018-06-11,503,0.0,False
2018-06-18,2.0,0.012399607023443854,0.3,-0.5,0.012399607023443854,0.15250536011546742,heston,2016-06-17,2018-06-18,503,0.0,False
2018-06-25,2.0,0.011725014851952627,0.3,-0.5,0.011725014851952627,0.15028538711571285,heston,2016-06-24,2018-06-25,503,0.0,False
2018-07-02,2.0,0.01124613207797988,0.3,-0.5,0.01124613207797988,0.13515853645275397,heston,2016-07-01,2018-07-02,503,0.0,False
2018-07-09,2.0,0.011202446458494334,0.3,-0.5,0.011202446458494334,0.13967409836304742,heston,2016-07-08,2018-07-09,503,0.0,False
2018-07-16,2.0,0.011233661848324712,0.3,-0.5,0.011233661848324712,0.1348425396933474,heston,2016-07-15,2018-07-16,503,0.0,False
2018-07-23,2.0,0.011225337958861027,0.3,-0.5,0.011225337958861027,0.1331161023502818,heston,2016-07-22,2018-07-23,503,0.0,False
2018-07-30,2.0,0.011307727029892516,0.3,-0.5,0.011307727029892516,0.1329869183191259,heston,2016-07-29,2018-07-30,503,0.0,False
2018-08-06,2.0,0.011286610138480023,0.3,-0.5,0.011286610138480023,0.138860030843543,heston,2016-08-05,2018-08-06,503,0.0,False
2018-08-13,2.0,0.011313595564355062,0.3,-0.5,0.011313595564355062,0.13374027496174726,heston,2016-08-12,2018-08-13,503,0.0,False
2018-08-20,2.0,0.011373866989510649,0.3,-0.5,0.011373866989510649,0.13988732127063572,heston,2016-08-19,2018-08-20,503,0.0,False
2018-08-27,2.0,0.011398447495673151,0.3,-0.5,0.011398447495673151,0.1499299696212804,heston,2016-08-26,2018-08-27,503,0.0,False
2018-09-04,2.0,0.011397806934608524,0.3,-0.5,0.011397806934608524,0.14749758207645303,heston,2016-09-02,2018-09-04,503,0.0,False
2018-09-10,2.0,0.011097310344878823,0.3,-0.5,0.011097310344878823,0.1561984563381275,heston,2016-09-09,2018-09-10,503,0.0,False
2018-09-17,2.0,0.010835366638155155,0.3,-0.5,0.010835366638155155,0.15800780113166663,heston,2016-09-16,2018-09-17,503,0.0,False
2018-09-24,2.0,0.010809802617707174,0.3,-0.5,0.010809802617707174,0.15478122441029415,heston,2016-09-23,2018-09-24,503,0.0,False
2018-10-01,2.0,0.010689505557372461,0.3,-0.5,0.010689505557372461,0.15522332290177815,heston,2016-09-30,2018-10-01,503,0.0,False
2018-10-08,2.0,0.010709083072312551,0.3,-0.5,0.010709083072312551,0.15139992783163395,heston,2016-10-07,2018-10-08,503,0.0,False
2018-10-15,2.0,0.01151031821550681,0.3,-0.5,0.01151031821550681,0.13237213752112464,heston,2016-10-14,2018-10-15,503,0.0,False
2018-10-22,2.0,0.011831574843546607,0.3,-0.5,0.011831574843546607,0.13162766972534382,heston,2016-10-21,2018-10-22,503,0.0,False
2018-10-29,2.0,0.012643559829578136,0.3,-0.5,0.012643559829578136,0.11468100513306455,heston,2016-10-28,2018-10-29,503,0.0,False
2018-11-05,2.0,0.01281553152982201,0.3,-0.5,0.01281553152982201,0.14203713492269263,heston,2016-11-04,2018-11-05,503,0.0,False
2018-11-12,2.0,0.012998742043583181,0.3,-0.5,0.012998742043583181,0.12206591858003181,heston,2016-11-11,2018-11-12,503,0.0,False
2018-11-19,2.0,0.013189391684034006,0.3,-0.5,0.013189391684034006,0.11095027215553255,heston,2016-11-18,2018-11-19,503,0.0,False
2018-11-26,2.0,0.01349208178899819,0.3,-0.5,0.01349208178899819,0.10123686642786967,heston,2016-11-25,2018-11-26,503,0.0,False
2018-12-03,2.0,0.013820798734523744,0.3,-0.5,0.013820798734523744,0.12720634726931074,heston,2016-12-02,2018-12-03,503,0.0,False
2018-12-10,2.0,0.01456721970559691,0.3,-0.5,0.01456721970559691,0.08716579263091778,heston,2016-12-08,2018-12-10,503,0.0,False
2018-12-17,2.0,0.014878704980171163,0.3,-0.5,0.014878704980171163,0.0668380328491574,heston,2016-12-15,2018-12-17,503,0.0,False
2018-12-24,2.0,0.015808454856233115,0.3,-0.5,0.015808454856233115,0.027435572955717462,heston,2016-12-22,2018-12-24,503,0.0,False
2018-12-31,2.0,0.01704755452446094,0.3,-0.5,0.01704755452446094,0.06259783417235171,heston,2016-12-29,2018-12-31,503,0.0,False
2019-01-07,2.0,0.01786101133717379,0.3,-0.5,0.01786101133717379,0.06730926939615385,heston,2017-01-05,2019-01-07,503,0.0,False
2019-01-14,2.0,0.017919126436953346,0.3,-0.5,0.017919126436953346,0.07296350951470483,heston,2017-01-12,2019-01-14,503,0.0,False
2019-01-22,2.0,0.018166045561670164,0.3,-0.5,0.018166045561670164,0.08313875098169261,heston,2017-01-20,2019-01-22,503,0.0,False
2019-01-28,2.0,0.018173770051953263,0.3,-0.5,0.018173770051953263,0.07916472059431426,heston,2017-01-26,2019-01-28,503,0.0,False
2019-02-04,2.0,0.01832885182277748,0.3,-0.5,0.01832885182277748,0.09800001138692513,heston,2017-02-02,2019-02-04,503,0.0,False
2019-02-11,2.0,0.018347569017854167,0.3,-0.5,0.018347569017854167,0.08934836856486339,heston,2017-02-09,2019-02-11,503,0.0,False
2019-02-19,2.0,0.018450375032980845,0.3,-0.5,0.018450375032980845,0.0937369121754909,heston,2017-02-16,2019-02-19,503,0.0,False
2019-02-25,2.0,0.018459756808853974,0.3,-0.5,0.018459756808853974,0.0930859447031416,heston,2017-02-23,2019-02-25,503,0.0,False
2019-03-04,2.0,0.01836788930497441,0.3,-0.5,0.01836788930497441,0.08896221606168893,heston,2017-03-02,2019-03-04,503,0.0,False
2019-03-11,2.0,0.018516342112092923,0.3,-0.5,0.018516342112092923,0.09028561329420456,heston,2017-03-09,2019-03-11,503,0.0,False
2019-03-18,2.0,0.018497036914131505,0.3,-0.5,0.018497036914131505,0.09381187798506861,heston,2017-03-16,2019-03-18,503,0.0,False
2019-03-25,2.0,0.01864592856507056,0.3,-0.5,0.01864592856507056,0.09745073519699912,heston,2017-03-23,2019-03-25,503,0.0,False
2019-04-01,2.0,0.018746234173782912,0.3,-0.5,0.018746234173782912,0.10473100138073255,heston,2017-03-30,2019-04-01,503,0.0,False
2019-04-08,2.0,0.018744783623035756,0.3,-0.5,0.018744783623035756,0.11169725556242219,heston,2017-04-06,2019-04-08,503,0.0,False
2019-04-15,2.0,0.018747486679258896,0.3,-0.5,0.018747486679258896,0.1200153876608718,heston,2017-04-13,2019-04-15,503,0.0,False
2019-04-22,2.0,0.01867955713083135,0.3,-0.5,0.01867955713083135,0.11443843128012143,heston,2017-04-20,2019-04-22,503,0.0,False
2019-04-29,2.0,0.01865249374233345,0.3,-0.5,0.01865249374233345,0.11370784472366102,heston,2017-04-27,2019-04-29,503,0.0,False
2019-05-06,2.0,0.018734381794143988,0.3,-0.5,0.018734381794143988,0.11161968406039498,heston,2017-05-04,2019-05-06,503,0.0,False
2019-05-13,2.0,0.01922429436713037,0.3,-0.5,0.01922429436713037,0.08967303670223736,heston,2017-05-11,2019-05-13,503,0.0,False
2019-05-20,2.0,0.019174437045554327,0.3,-0.5,0.019174437045554327,0.10062232399631685,heston,2017-05-18,2019-05-20,503,0.0,False
2019-05-28,2.0,0.019302611308518,0.3,-0.5,0.019302611308518,0.08348764406914896,heston,2017-05-25,2019-05-28,503,0.0,False
2019-06-03,2.0,0.019399975731561575,0.3,-0.5,0.019399975731561575,0.07015213712476184,heston,2017-06-01,2019-06-03,503,0.0,False
2019-06-10,2.0,0.019723065683996375,0.3,-0.5,0.019723065683996375,0.0950589239186748,heston,2017-06-08,2019-06-10,503,0.0,False
2019-06-17,2.0,0.019717581113542073,0.3,-0.5,0.019717581113542073,0.09576974293537985,heston,2017-06-15,2019-06-17,503,0.0,False
2019-06-24,2.0,0.019765587813668873,0.3,-0.5,0.019765587813668873,0.10504748122104395,heston,2017-06-22,2019-06-24,503,0.0,False
2019-07-01,2.0,0.019757514200734693,0.3,-0.5,0.019757514200734693,0.11156150025810754,heston,2017-06-29,2019-07-01,503,0.0,False
2019-07-08,2.0,0.01975742755587104,0.3,-0.5,0.01975742755587104,0.11518662119979818,heston,2017-07-06,2019-07-08,503,0.0,False
2019-07-15,2.0,0.019732223433637976,0.3,-0.5,0.019732223433637976,0.1137679150109012,heston,2017-07-13,2019-07-15,503,0.0,False
2019-07-22,2.0,0.019767668108702376,0.3,-0.5,0.019767668108702376,0.10355205706551887,heston,2017-07-20,2019-07-22,503,0.0,False
2019-07-29,2.0,0.019831511274669505,0.3,-0.5,0.019831511274669505,0.10933281761210532,heston,2017-07-27,2019-07-29,503,0.0,False
2019-08-05,2.0,0.020445038659081503,0.3,-0.5,0.020445038659081503,0.07991773058510107,heston,2017-08-03,2019-08-05,503,0.0,False
2019-08-12,2.0,0.020714416616792044,0.3,-0.5,0.020714416616792044,0.09403291728090017,heston,2017-08-10,2019-08-12,503,0.0,False
2019-08-19,2.0,0.021287814832592525,0.3,-0.5,0.021287814832592525,0.10305303685848627,heston,2017-08-17,2019-08-19,503,0.0,False
2019-08-26,2.0,0.02169262836086088,0.3,-0.5,0.02169262836086088,0.09392777799925021,heston,2017-08-24,2019-08-26,503,0.0,False
2019-09-03,2.0,0.021792224313266568,0.3,-0.5,0.021792224313266568,0.09158582070776239,heston,2017-08-31,2019-09-03,503,0.0,False
2019-09-09,2.0,0.021895855876056747,0.3,-0.5,0.021895855876056747,0.10558696382533778,heston,2017-09-07,2019-09-09,503,0.0,False
2019-09-16,2.0,0.021871441750798613,0.3,-0.5,0.021871441750798613,0.10236453361992523,heston,2017-09-14,2019-09-16,503,0.0,False
2019-09-23,2.0,0.02190705201910858,0.3,-0.5,0.02190705201910858,0.10052123977626433,heston,2017-09-21,2019-09-23,503,0.0,False
2019-09-30,2.0,0.021975654676716205,0.3,-0.5,0.021975654676716205,0.09620565495035863,heston,2017-09-28,2019-09-30,503,0.0,False
2019-10-07,2.0,0.022313550015616038,0.3,-0.5,0.022313550015616038,0.08155459679888424,heston,2017-10-05,2019-10-07,503,0.0,False
2019-10-14,2.0,0.02254740626583947,0.3,-0.5,0.02254740626583947,0.08659301529405294,heston,2017-10-12,2019-10-14,503,0.0,False
2019-10-21,2.0,0.02262915174644636,0.3,-0.5,0.02262915174644636,0.0911691902825546,heston,2017-10-19,2019-10-21,503,0.0,False
2019-10-28,2.0,0.02262483741476744,0.3,-0.5,0.02262483741476744,0.09699765308854413,heston,2017-10-26,2019-10-28,503,0.0,False
2019-11-04,2.0,0.022639507288608005,0.3,-0.5,0.022639507288608005,0.09983691294264034,heston,2017-11-02,2019-11-04,503,0.0,False
2019-11-11,2.0,0.022635783360442717,0.3,-0.5,0.022635783360442717,0.10030305893986803,heston,2017-11-09,2019-11-11,503,0.0,False
2019-11-18,2.0,0.022610008758655948,0.3,-0.5,0.022610008758655948,0.10534533506273205,heston,2017-11-16,2019-11-18,503,0.0,False
2019-11-25,2.0,0.022621384956130832,0.3,-0.5,0.022621384956130832,0.10415456266716513,heston,2017-11-24,2019-11-25,503,0.0,False
2019-12-02,2.0,0.02259580848076262,0.3,-0.5,0.02259580848076262,0.0924995758378331,heston,2017-11-30,2019-12-02,503,0.0,False
2019-12-09,2.0,0.02266763982567283,0.3,-0.5,0.02266763982567283,0.09790384971711545,heston,2017-12-07,2019-12-09,503,0.0,False
2019-12-16,2.0,0.022699420902495875,0.3,-0.5,0.022699420902495875,0.10380313884992491,heston,2017-12-14,2019-12-16,503,0.0,False
2019-12-23,2.0,0.022674952779794488,0.3,-0.5,0.022674952779794488,0.10287292413641426,heston,2017-12-21,2019-12-23,503,0.0,False
2019-12-30,2.0,0.022702035542847377,0.3,-0.5,0.022702035542847377,0.10212538818229328,heston,2017-12-28,2019-12-30,503,0.0,False
2020-01-06,2.0,0.02272534215411789,0.3,-0.5,0.02272534215411789,0.09916917687541682,heston,2018-01-04,2020-01-06,503,0.0,False
2020-01-13,2.0,0.022741210181297596,0.3,-0.5,0.022741210181297596,0.09755440664915026,heston,2018-01-11,2020-01-13,503,0.0,False
2020-01-21,2.0,0.022703916867933608,0.3,-0.5,0.022703916867933608,0.09490348098605156,heston,2018-01-19,2020-01-21,503,0.0,False
2020-01-27,2.0,0.02285056447658529,0.3,-0.5,0.02285056447658529,0.07790353708984366,heston,2018-01-25,2020-01-27,503,0.0,False
2020-02-03,2.0,0.02296174818665579,0.3,-0.5,0.02296174818665579,0.08196934144253692,heston,2018-02-01,2020-02-03,503,0.0,False
2020-02-10,2.0,0.021042923800992527,0.3,-0.5,0.021042923800992527,0.1416067539410394,heston,2018-02-08,2020-02-10,503,0.0,False
2020-02-18,2.0,0.02070247825805756,0.3,-0.5,0.02070247825805756,0.11540955969255447,heston,2018-02-15,2020-02-18,503,0.0,False
2020-02-24,2.0,0.021327066141106722,0.3,-0.5,0.021327066141106722,0.0988147859896764,heston,2018-02-22,2020-02-24,503,0.0,False
2020-03-02,2.0,0.02335913742982254,0.3,-0.5,0.02335913742982254,0.08370524986181435,heston,2018-03-01,2020-03-02,503,0.0,False
2020-03-09,2.0,0.028592122590041485,0.3,-0.5,0.028592122590041485,0.014533616146560591,heston,2018-03-08,2020-03-09,503,0.0,False
2020-03-16,2.0,0.046116270172208824,0.3,-0.5,0.046116270172208824,-0.04545649149254703,heston,2018-03-15,2020-03-16,503,0.0,True
2020-03-23,2.0,0.0500174713440983,0.3,-0.5,0.0500174713440983,-0.059033409701980434,heston,2018-03-22,2020-03-23,503,0.0,True
2020-03-30,2.0,0.055688989262471573,0.3,-0.5,0.055688989262471573,0.024980572755777027,heston,2018-03-29,2020-03-30,503,0.0,True
2020-04-06,2.0,0.05869205151556878,0.3,-0.5,0.05869205151556878,0.039164134561661186,heston,2018-04-06,2020-04-06,503,0.0,True
2020-04-13,2.0,0.059211013588434454,0.3,-0.5,0.059211013588434454,0.047608780581263346,heston,2018-04-12,2020-04-13,503,0.0,True
2020-04-20,2.0,0.060282134533046705,0.3,-0.5,0.060282134533046705,0.053261810883991595,heston,2018-04-19,2020-04-20,503,0.0,True
2020-04-27,2.0,0.06101375592608901,0.3,-0.5,0.06101375592608901,0.0680791124800576,heston,2018-04-26,2020-04-27,503,0.0,True
2020-05-04,2.0,0.0617112876703502,0.3,-0.5,0.0617112876703502,0.06930737988177835,heston,2018-05-03,2020-05-04,503,0.0,True
2020-05-11,2.0,0.061806304120030804,0.3,-0.5,0.061806304120030804,0.06726984503051366,heston,2018-05-10,2020-05-11,503,0.0,True
2020-05-18,2.0,0.06266390819015248,0.3,-0.5,0.06266390819015248,0.07198086971230098,heston,2018-05-17,2020-05-18,503,0.0,True
2020-05-26,2.0,0.06291806514043462,0.3,-0.5,0.06291806514043462,0.0775365412798133,heston,2018-05-24,2020-05-26,503,0.0,True
2020-06-01,2.0,0.06286418749293686,0.3,-0.5,0.06286418749293686,0.09165961138356632,heston,2018-05-31,2020-06-01,503,0.0,True
2020-06-08,2.0,0.06328030899441778,0.3,-0.5,0.06328030899441778,0.10825164727460011,heston,2018-06-07,2020-06-08,503,0.0,True
2020-06-15,2.0,0.06520808568376156,0.3,-0.5,0.06520808568376156,0.0810837474590328,heston,2018-06-14,2020-06-15,503,0.0,True
2020-06-22,2.0,0.0654176587752262,0.3,-0.5,0.0654176587752262,0.09511598547623624,heston,2018-06-21,2020-06-22,503,0.0,True
2020-06-29,2.0,0.06606981930020868,0.3,-0.5,0.06606981930020868,0.09156448035661208,heston,2018-06-28,2020-06-29,503,0.0,True
2020-07-06,2.0,0.06625721565049246,0.3,-0.5,0.06625721565049246,0.10786932575691069,heston,2018-07-05,2020-07-06,503,0.0,True
2020-07-13,2.0,0.06630403521018459,0.3,-0.5,0.06630403521018459,0.09303458480169266,heston,2018-07-12,2020-07-13,503,0.0,True
2020-07-20,2.0,0.06644586681217565,0.3,-0.5,0.06644586681217565,0.10683953786469413,heston,2018-07-19,2020-07-20,503,0.0,True
2020-07-27,2.0,0.06653434810431065,0.3,-0.5,0.06653434810431065,0.09924088225148278,heston,2018-07-26,2020-07-27,503,0.0,True
2020-08-03,2.0,0.06662016138476819,0.3,-0.5,0.06662016138476819,0.10952638094383255,heston,2018-08-02,2020-08-03,503,0.0,True
2020-08-10,2.0,0.06664804231108783,0.3,-0.5,0.06664804231108783,0.11503405139055442,heston,2018-08-09,2020-08-10,503,0.0,True
2020-08-17,2.0,0.0666710742883109,0.3,-0.5,0.0666710742883109,0.12030514808800537,heston,2018-08-16,2020-08-17,503,0.0,True
2020-08-24,2.0,0.06672894290317292,0.3,-0.5,0.06672894290317292,0.12466557865711567,heston,2018-08-23,2020-08-24,503,0.0,True
2020-08-31,2.0,0.06674185725526806,0.3,-0.5,0.06674185725526806,0.12607732441829972,heston,2018-08-30,2020-08-31,503,0.0,True
2020-09-08,2.0,0.06792509892449126,0.3,-0.5,0.06792509892449126,0.10771002181226977,heston,2018-09-07,2020-09-08,503,0.0,True
2020-09-14,2.0,0.06833138694868127,0.3,-0.5,0.06833138694868127,0.110149962390266,heston,2018-09-13,2020-09-14,503,0.0,True
2020-09-21,2.0,0.06852514015828107,0.3,-0.5,0.06852514015828107,0.08822877039353655,heston,2018-09-20,2020-09-21,503,0.0,True
2020-09-28,2.0,0.06908491499421401,0.3,-0.5,0.06908491499421401,0.10440722119149153,heston,2018-09-27,2020-09-28,503,0.0,True
2020-10-05,2.0,0.06930636618288864,0.3,-0.5,0.06930636618288864,0.11495825072210802,heston,2018-10-04,2020-10-05,503,0.0,True
2020-10-12,2.0,0.06893878417261105,0.3,-0.5,0.06893878417261105,0.16393885088676755,heston,2018-10-11,2020-10-12,503,0.0,True
2020-10-19,2.0,0.0686678679572718,0.3,-0.5,0.0686678679572718,0.1410410967936261,heston,2018-10-18,2020-10-19,503,0.0,True
2020-10-26,2.0,0.06820903883495583,0.3,-0.5,0.06820903883495583,0.14854742727855308,heston,2018-10-25,2020-10-26,503,0.0,True
2020-11-02,2.0,0.068612562723407,0.3,-0.5,0.068612562723407,0.1286736918979238,heston,2018-11-01,2020-11-02,503,0.0,True
2020-11-09,2.0,0.0689779888503218,0.3,-0.5,0.0689779888503218,0.15187383042384978,heston,2018-11-08,2020-11-09,503,0.0,True
2020-11-16,2.0,0.0688944354642396,0.3,-0.5,0.0688944354642396,0.17656545161796067,heston,2018-11-15,2020-11-16,503,0.0,True
2020-11-23,2.0,0.06866704759296212,0.3,-0.5,0.06866704759296212,0.18759727691881364,heston,2018-11-23,2020-11-23,503,0.0,True
2020-11-30,2.0,0.06842917010812279,0.3,-0.5,0.06842917010812279,0.17386909379558763,heston,2018-11-29,2020-11-30,503,0.0,True
2020-12-07,2.0,0.06756562852874731,0.3,-0.5,0.06756562852874731,0.2024782922091451,heston,2018-12-07,2020-12-07,503,0.0,True
2020-12-14,2.0,0.06743275690877351,0.3,-0.5,0.06743275690877351,0.20228970994881618,heston,2018-12-14,2020-12-14,503,0.0,True
2020-12-21,2.0,0.06671385469122097,0.3,-0.5,0.06671385469122097,0.2458540918104886,heston,2018-12-21,2020-12-21,503,0.0,True
2020-12-28,2.0,0.0651645178396646,0.3,-0.5,0.0651645178396646,0.23645204542577514,heston,2018-12-28,2020-12-28,503,0.0,True
2021-01-04,2.0,0.06441984165413486,0.3,-0.5,0.06441984165413486,0.2222128438118885,heston,2019-01-04,2021-01-04,503,0.0,True
2021-01-11,2.0,0.0645170657151301,0.3,-0.5,0.0645170657151301,0.22261977863814325,heston,2019-01-11,2021-01-11,503,0.0,True
2021-01-19,2.0,0.06440200035541223,0.3,-0.5,0.06440200035541223,0.20824437109420116,heston,2019-01-18,2021-01-19,503,0.0,True
2021-01-25,2.0,0.06436781670605458,0.3,-0.5,0.06436781670605458,0.21704507803121967,heston,2019-01-25,2021-01-25,503,0.0,True
2021-02-01,2.0,0.0648890339662869,0.3,-0.5,0.0648890339662869,0.19855234699653385,heston,2019-02-01,2021-02-01,503,0.0,True
2021-02-08,2.0,0.06498011177694525,0.3,-0.5,0.06498011177694525,0.2165013530388163,heston,2019-02-08,2021-02-08,503,0.0,True
2021-02-16,2.0,0.06486016344808446,0.3,-0.5,0.06486016344808446,0.2061119377127234,heston,2019-02-15,2021-02-16,503,0.0,True
2021-02-22,2.0,0.06488510097250666,0.3,-0.5,0.06488510097250666,0.1961617708715682,heston,2019-02-22,2021-02-22,503,0.0,True
2021-03-01,2.0,0.06552236273239023,0.3,-0.5,0.06552236273239023,0.1974783794313587,heston,2019-03-01,2021-03-01,503,0.0,True
2021-03-08,2.0,0.06583529772663106,0.3,-0.5,0.06583529772663106,0.19818647555577432,heston,2019-03-08,2021-03-08,503,0.0,True
2021-03-15,2.0,0.06588309447618095,0.3,-0.5,0.06588309447618095,0.20477837586733239,heston,2019-03-15,2021-03-15,503,0.0,True
2021-03-22,2.0,0.06577997907712717,0.3,-0.5,0.06577997907712717,0.20355780232680315,heston,2019-03-22,2021-03-22,503,0.0,True
2021-03-29,2.0,0.065902099161442,0.3,-0.5,0.065902099161442,0.20191166374485223,heston,2019-03-29,2021-03-29,503,0.0,True
2021-04-05,2.0,0.06599231675183295,0.3,-0.5,0.06599231675183295,0.20690635296437093,heston,2019-04-04,2021-04-05,503,0.0,True
2021-04-12,2.0,0.06599317123689366,0.3,-0.5,0.06599317123689366,0.21158081935460965,heston,2019-04-11,2021-04-12,503,0.0,True
2021-04-19,2.0,0.0660486157399309,0.3,-0.5,0.0660486157399309,0.21279826734415974,heston,2019-04-18,2021-04-19,503,0.0,True
2021-04-26,2.0,0.0661731281280664,0.3,-0.5,0.0661731281280664,0.20992595304300846,heston,2019-04-26,2021-04-26,503,0.0,True
