as_of_date,kappa,theta,xi,rho,v0,mu,model,window_start,window_end,n_observations,calibration_loss,optimizer_success
2014-09-29,2.0,0.010394356040381534,0.3,-0.5,0.010394356040381534,0.10937370256810511,heston,2014-01-02,2014-09-29,186,0.0,False
2014-10-06,2.0,0.010545420350378098,0.3,-0.5,0.010545420350378098,0.0983468107379933,heston,2014-01-02,2014-10-06,191,0.0,False
2014-10-13,2.0,0.012049539505919388,0.3,-0.5,0.012049539505919388,0.03720243834541939,heston,2014-01-02,2014-10-13,196,0.0,False
2014-10-20,2.0,0.012095652991080869,0.3,-0.5,0.012095652991080869,0.05563650624224173,heston,2014-01-02,2014-10-20,201,0.0,False
2014-10-27,2.0,0.01255549707273283,0.3,-0.5,0.01255549707273283,0.09176416599954178,heston,2014-01-02,2014-10-27,206,0.0,False
2014-11-03,2.0,0.012593635056620317,0.3,-0.5,0.012593635056620317,0.12343446246317562,heston,2014-01-02,2014-11-03,211,0.0,False
2014-11-10,2.0,0.0123816875870245,0.3,-0.5,0.0123816875870245,0.13332606999811605,heston,2014-01-02,2014-11-10,216,0.0,False
2014-11-17,2.0,0.012103838414588177,0.3,-0.5,0.012103838414588177,0.1324888458503204,heston,2014-01-02,2014-11-17,221,0.0,False
2014-11-24,2.0,0.011903978910986435,0.3,-0.5,0.011903978910986435,0.14524905375410685,heston,2014-01-02,2014-11-24,226,0.0,False
2014-12-01,2.0,0.011772040537674227,0.3,-0.5,0.011772040537674227,0.13480214483131023,heston,2014-01-02,2014-12-01,230,0.0,False
2014-12-08,2.0,0.011630557677711149,0.3,-0.5,0.011630557677711149,0.13640924895623976,heston,2014-01-02,2014-12-08,235,0.0,False
2014-12-15,2.0,0.012053510994134832,0.3,-0.5,0.012053510994134832,0.09718299017403892,heston,2014-01-02,2014-12-15,240,0.0,False
2014-12-22,2.0,0.012868030166013601,0.3,-0.5,0.012868030166013601,0.13597009154434914,heston,2014-01-02,2014-12-22,245,0.0,False
2014-12-29,2.0,0.01266943788497716,0.3,-0.5,0.01266943788497716,0.1398691566683197,heston,2014-01-02,2014-12-29,249,0.0,False
2015-01-05,2.0,0.01296125096599457,0.3,-0.5,0.01296125096599457,0.10392563734665346,heston,2014-01-02,2015-01-05,253,0.0,False
2015-01-12,2.0,0.013371998482558291,0.3,-0.5,0.013371998482558291,0.10673532668191796,heston,2014-01-02,2015-01-12,258,0.0,False
2015-01-20,2.0,0.013411644543264049,0.3,-0.5,0.013411644543264049,0.10203563889576028,heston,2014-01-02,2015-01-20,263,0.0,False
2015-01-26,2.0,0.01346225907079317,0.3,-0.5,0.01346225907079317,0.1163594318873453,heston,2014-01-02,2015-01-26,267,0.0,False
2015-02-02,2.0,0.01391489045189546,0.3,-0.5,0.01391489045189546,0.09851375221813306,heston,2014-01-02,2015-02-02,272,0.0,False
2015-02-09,2.0,0.013973127245178293,0.3,-0.5,0.013973127245178293,0.10901888141793464,heston,2014-01-02,2015-02-09,277,0.0,False
2015-02-17,2.0,0.013904650468284286,0.3,-0.5,0.013904650468284286,0.13079183121427748,heston,2014-01-02,2015-02-17,282,0.0,False
2015-02-23,2.0,0.0137378594687912,0.3,-0.5,0.0137378594687912,0.1335731778959743,heston,2014-01-02,2015-02-23,286,0.0,False
2015-03-02,2.0,0.013552263019929952,0.3,-0.5,0.013552263019929952,0.13449960796870478,heston,2014-01-02,2015-03-02,291,0.0,False
2015-03-09,2.0,0.013554189616590814,0.3,-0.5,0.013554189616590814,0.11763875166626334,heston,2014-01-02,2015-03-09,296,0.0,False
2015-03-16,2.0,0.013871885590702362,0.3,-0.5,0.013871885590702362,0.1168395574119944,heston,2014-01-02,2015-03-16,301,0.0,False
2015-03-23,2.0,0.013801557889352917,0.3,-0.5,0.013801557889352917,0.12059612288506466,heston,2014-01-02,2015-03-23,306,0.0,False
2015-03-30,2.0,0.013916987022272771,0.3,-0.5,0.013916987022272771,0.11204523411817403,heston,2014-01-02,2015-03-30,311,0.0,False
2015-04-06,2.0,0.013860097093776063,0.3,-0.5,0.013860097093776063,0.10906727977979011,heston,2014-01-02,2015-04-06,315,0.0,False
2015-04-13,2.0,0.013709180570652608,0.3,-0.5,0.013709180570652608,0.11215584774894012,heston,2014-01-02,2015-04-13,320,0.0,False
2015-04-20,2.0,0.013682890893036176,0.3,-0.5,0.013682890893036176,0.1133359406139513,heston,2014-01-02,2015-04-20,325,0.0,False
2015-04-27,2.0,0.01351452349386746,0.3,-0.5,0.01351452349386746,0.1149787325811566,heston,2014-01-02,2015-04-27,330,0.0,False
2015-05-04,2.0,0.013501994555195298,0.3,-0.5,0.013501994555195298,0.1153176173479788,heston,2014-01-02,2015-05-04,335,0.0,False
2015-05-11,2.0,0.013573061195762707,0.3,-0.5,0.013573061195762707,0.11124456431637263,heston,2014-01-02,2015-05-11,340,0.0,False
2015-05-18,2.0,0.013462292422228574,0.3,-0.5,0.013462292422228574,0.11827777044099452,heston,2014-01-02,2015-05-18,345,0.0,False
2015-05-26,2.0,0.01337204128852028,0.3,-0.5,0.01337204128852028,0.10848424449886802,heston,2014-01-02,2015-05-26,350,0.0,False
2015-06-01,2.0,0.013313902950547614,0.3,-0.5,0.013313902950547614,0.11023821582486083,heston,2014-01-02,2015-06-01,354,0.0,False
2015-06-08,2.0,0.013221672752707843,0.3,-0.5,0.013221672752707843,0.09842181708901002,heston,2014-01-02,2015-06-08,359,0.0,False
2015-06-15,2.0,0.013198160115273718,0.3,-0.5,0.013198160115273718,0.09923783194838215,heston,2014-01-02,2015-06-15,364,0.0,False
