decision_date,model_name,forecast_realized_variance,implied_variance,variance_edge,variance_edge_zscore,trade_direction,structure_name,spot_at_entry,strike,expiration,days_to_expiration,entry_option_iv,exit_option_iv,subsequent_realized_variance,underlying_return,gross_option_pnl,hedge_pnl,commission,slippage,net_pnl,holding_days,exit_reason
2022-03-29,ensemble,0.025569246672058486,0.035637510841,-0.010068264168941517,1.462769028854568,short_vol,iron_butterfly,461.55,462.0,2022-05-03,35,0.189049,0.189049,0.048455696484998166,-0.05039540678149712,-608.4000000000087,,67.60000000000001,121.68000000000016,-797.6800000000076,14,exit
2022-04-04,ensemble,0.02513008021048193,0.034448102403999994,-0.009318022193518065,1.471667299385641,short_vol,iron_butterfly,456.8,457.0,2022-05-09,35,0.1871735,0.1871735,0.07263657757293111,-0.025744308231173352,-401.75,,52.0,80.34999999999998,-534.0999999999985,15,exit
2022-04-13,ensemble,0.025377861179215873,0.047691134689,-0.022313273509784126,0.9947028832032335,short_vol,iron_butterfly,443.31,443.0,2022-05-18,35,0.21687675,0.21687675,0.10251440629037835,-0.03338521576323572,-623.5499999999956,,62.400000000000006,124.70999999999978,-810.6599999999962,12,exit
2022-04-18,ensemble,0.0256304036421606,0.049142909123999996,-0.023512505481839398,0.9100823311484354,short_vol,iron_butterfly,437.97,438.0,2022-05-23,35,0.22185,0.22185,0.10580191615170031,-0.02159965294426569,-1097.7249999999985,,98.8,219.5450000000003,-1416.0699999999997,7,exit
2022-04-26,ensemble,0.027607080214257992,0.11242407820900001,-0.08481699799474202,-1.6720174272433677,long_vol,long_straddle,416.1,416.0,2022-05-31,35,0.335297,0.335297,0.10646796132363096,-0.05611631819274221,-69.92500000000109,,5.2,13.985000000000092,-89.1100000000024,15,exit
2022-05-02,ensemble,0.030483128884953446,0.10487882250000002,-0.07439569361504658,-1.1082794618402783,long_vol,long_straddle,414.48,414.0,2022-06-06,35,0.32385,0.32385,0.09438492636539997,-0.030785562632696384,-71.05000000000109,,5.2,14.2100000000001,-90.46000000000276,11,exit
2022-05-09,ensemble,0.0367088581530992,0.12087999168399999,-0.08417113353090079,-1.3868081214577552,long_vol,long_straddle,398.17,398.0,2022-06-13,35,0.347678,0.347678,0.06467626753247419,0.008915789738051627,-70.17500000000109,,5.2,14.034999999999975,-89.41000000000167,4,exit
2022-06-07,ensemble,0.03884496668521424,0.0576096004,-0.01876463371478576,0.9678076358736729,short_vol,iron_butterfly,415.74,416.0,2022-07-12,35,0.24205175,0.24205175,0.08353642782180466,-0.06239476595949389,-959.5999999999985,,83.2,191.91999999999928,-1234.719999999994,3,exit
2022-06-13,ensemble,0.043019655881494874,0.11573604,-0.07271638411850512,-1.653011026621482,long_vol,long_straddle,375.0,375.0,2022-07-18,35,0.3402,0.3402,0.04971662717311379,0.011199999999999877,-94.46250000000146,,7.800000000000001,18.89250000000007,-121.15500000000247,2,exit
2022-07-07,ensemble,0.04565799169305632,0.06801246726400001,-0.022354475570943687,1.101565789113651,short_vol,iron_butterfly,388.99,389.0,2022-08-11,35,0.261228,0.261228,0.036904596884323494,0.0,-829.8500000000022,,72.8,165.9699999999999,-1068.6200000000063,0,exit
2022-07-14,ensemble,0.044782150049498495,0.06965640562500001,-0.02487425557550152,0.9375867324177962,short_vol,iron_butterfly,377.91,378.0,2022-08-18,35,0.26412525,0.26412525,0.04273360250686925,0.09018020163530993,-1475.1000000000095,,114.4,295.0200000000007,-1884.520000000015,15,exit
2022-07-19,ensemble,0.045486641657611626,0.060124020804,-0.014637379146388373,1.4377635414402525,short_vol,iron_butterfly,392.27,392.0,2022-08-23,35,0.247194,0.247194,0.02993914492036411,0.056542687434675054,-1059.9750000000022,,93.60000000000001,211.99500000000012,-1365.5700000000033,15,exit
2022-07-25,ensemble,0.0449787250893616,0.054426557025,-0.009447831935638404,1.490906874246752,short_vol,iron_butterfly,395.57,396.0,2022-08-29,35,0.23386325000000002,0.23386325000000002,0.03484395336646287,0.03989180170387052,-597.4500000000007,,62.400000000000006,119.4899999999997,-779.3400000000001,15,exit
2022-08-01,ensemble,0.04602689181278576,0.052096693009,-0.006069801196214239,1.4317202447393111,short_vol,iron_butterfly,410.77,411.0,2022-09-06,36,0.22685775,0.22685775,0.03947529031943971,0.04608418336295261,-746.8999999999978,,72.8,149.3800000000001,-969.0799999999981,15,exit
2022-08-09,ensemble,0.045055171132426394,0.047489998084,-0.0024348269515736057,1.4237839870247644,short_vol,iron_butterfly,411.35,411.0,2022-09-13,35,0.21978925,0.21978925,0.04245789510821771,0.005639965965722693,-694.3999999999942,,72.8,138.88000000000008,-906.0799999999945,15,exit
2022-08-15,ensemble,0.045638786668358786,0.03976913408399999,0.0058696525843587935,1.6067227460782496,short_vol,iron_butterfly,428.86,429.0,2022-09-19,35,0.198267,0.198267,0.06180173096413383,-0.05491302522967867,-461.03749999999854,,57.2,92.20750000000034,-610.4449999999924,11,exit
2022-08-25,ensemble,0.045500189088881385,0.047304075024999996,-0.0018038859361186113,0.9097620136022934,short_vol,iron_butterfly,419.51,420.0,2022-09-29,35,0.21802025,0.21802025,0.0657057918703487,-0.03384901432623777,-457.0,,52.0,91.40000000000009,-600.4000000000015,1,exit
2022-09-20,ensemble,0.04942528878563679,0.07380784897599998,-0.024382560190363195,-0.9473030311882432,long_vol,long_straddle,384.09,384.0,2022-10-25,35,0.271676,0.271676,0.07817112724680866,-0.018224895206852554,-78.41249999999945,,7.800000000000001,15.682499999999955,-101.89499999999953,15,exit
2022-09-26,ensemble,0.051099263728942516,0.1042837849,-0.05318452117105748,-3.1539915706395982,long_vol,long_straddle,364.31,364.0,2022-10-31,35,0.32293,0.32293,0.08154496942850188,-0.01803409184485738,-91.64999999999964,,7.800000000000001,18.330000000000048,-117.78000000000065,15,exit
2022-10-03,ensemble,0.05102096888283936,0.09036997945599999,-0.039349010573160634,-1.5255566461700323,long_vol,long_straddle,366.61,367.0,2022-11-07,35,0.300616,0.300616,0.0690252142994696,0.012329178145713326,-86.99999999999818,,7.800000000000001,17.39999999999995,-112.199999999998,15,exit
2022-10-10,ensemble,0.05244565691820304,0.10531452848399998,-0.05286887156579694,-2.0924033299790485,long_vol,long_straddle,360.02,360.0,2022-11-14,35,0.324522,0.324522,0.05910899833011164,0.06916282428753973,-86.77499999999964,,7.800000000000001,17.355000000000054,-111.92999999999847,15,exit
2022-10-17,ensemble,0.054420700720585524,0.098291655225,-0.04387095450441447,-1.195545305673682,long_vol,long_straddle,366.82,367.0,2022-11-21,35,0.313515,0.313515,0.0786476366788253,0.04934300201733821,-87.75,,7.800000000000001,17.549999999999997,-113.09999999999854,8,exit
2022-11-04,ensemble,0.055353792256694,0.060404859075999996,-0.005051066819305998,1.0618813847308575,short_vol,iron_butterfly,376.35,376.0,2022-12-09,35,0.24600149999999998,0.24600149999999998,0.06886395486321763,0.052291749701075974,-671.450000000008,,67.60000000000001,134.29000000000022,-873.3400000000074,14,exit
2022-11-10,ensemble,0.05915891188149525,0.055261666084,0.003897245797495251,1.6919793018342375,short_vol,iron_butterfly,394.69,395.0,2022-12-15,35,0.23565275000000002,0.23565275000000002,0.031784028916785334,0.019356963693024865,-599.1000000000058,,62.400000000000006,119.82,-781.320000000007,15,exit
2022-11-17,ensemble,0.059525706578197696,0.057348275625,0.0021774309531976954,1.494599218181822,short_vol,iron_butterfly,394.24,394.0,2022-12-22,35,0.24140875,0.24140875,0.040769815275559694,0.03213778409090917,-965.1750000000065,,88.4,193.03500000000008,-1246.6100000000115,15,exit
2022-11-22,ensemble,0.05920253831200587,0.045299162896,0.013903375416005871,1.9367817385001398,short_vol,iron_butterfly,399.9,400.0,2022-12-27,35,0.21469925,0.21469925,0.043363450132459035,-0.01685421355338823,-641.3750000000036,,72.8,128.27500000000063,-842.450000000008,15,exit
2022-11-28,ensemble,0.06019947484629882,0.049301317521,0.010898157325298821,1.5382359207482943,short_vol,iron_butterfly,395.91,396.0,2023-01-03,36,0.2222095,0.2222095,0.04224317928029507,0.015306509055088346,-968.8500000000058,,93.60000000000001,193.77000000000044,-1256.2200000000084,15,exit
