scenario,trade_count,wins,losses,option_pnl,hedge_pnl,net_pnl,sharpe_ratio,maximum_drawdown
long_only,154,0,154,-18314.965000000047,26226.69980413001,-16934.345153100207,-0.6926986487889313,-0.017839545153100267
short_only,124,0,124,-50519.210000000036,9899.849936259987,-37322.3208374799,-1.301135077405346,-0.037386417751479994
both_directions,272,0,272,-66025.26500000007,21611.902426389945,-51683.90693258005,-1.4735549766759246,-0.05258910693258001
both_zero_cost_mid,272,0,272,-33123.92500000002,22189.815208389842,-18207.681368581136,-0.5214674829247516,-0.02127037810658139
