as_of_date,model_name,expected_variance,median_variance,lower_quantile,upper_quantile,monte_carlo_standard_error,heston_used,heston_failure,implied_variance,variance_edge,realized_variance,forecast_error,abs_error,edge_sign_correct
2022-01-03,ensemble,0.01731758089180826,0.01731758089180826,0.01731758089180826,0.01731758089180826,0.0,True,,0.027515842641,-0.01019826174919174,0.03456534651923909,-0.017247765627430835,0.017247765627430835,False
2022-01-04,ensemble,0.018003965611801127,0.018003965611801127,0.018003965611801127,0.018003965611801127,0.0,True,,0.028530250281,-0.010526284669198874,0.04135307008567035,-0.023349104473869224,0.023349104473869224,False
2022-01-05,ensemble,0.017539066402457427,0.017539066402457427,0.017539066402457427,0.017539066402457427,0.0,True,,0.039003090064,-0.02146402366154257,0.03710598615902472,-0.01956691975656729,0.01956691975656729,True
2022-01-06,ensemble,0.017524013404682792,0.017524013404682792,0.017524013404682792,0.017524013404682792,0.0,True,,0.0384434449,-0.020919431495317206,0.037219377225382336,-0.019695363820699544,0.019695363820699544,True
2022-01-07,ensemble,0.017276077604579963,0.017276077604579963,0.017276077604579963,0.017276077604579963,0.0,True,,0.035209895449,-0.01793381784442004,0.03783681253205677,-0.020560734927476808,0.020560734927476808,False
2022-01-10,ensemble,0.01727321165912781,0.01727321165912781,0.01727321165912781,0.01727321165912781,0.0,True,,0.03754100002500001,-0.020267788365872196,0.0403516648043594,-0.02307845314523159,0.02307845314523159,False
2022-01-11,ensemble,0.01732902992458088,0.01732902992458088,0.01732902992458088,0.01732902992458088,0.0,True,,0.033849376324,-0.01652034639941912,0.04330904663175326,-0.025980016707172378,0.025980016707172378,False
2022-01-12,ensemble,0.01744591947832179,0.01744591947832179,0.01744591947832179,0.01744591947832179,0.0,True,,0.031049611681,-0.013603692202678212,0.04798119010094072,-0.030535270622618932,0.030535270622618932,False
2022-01-13,ensemble,0.017625530629139723,0.017625530629139723,0.017625530629139723,0.017625530629139723,0.0,True,,0.041149745316000005,-0.023524214686860282,0.04579987885116763,-0.02817434822202791,0.02817434822202791,False
2022-01-14,ensemble,0.018076160612321673,0.018076160612321673,0.018076160612321673,0.018076160612321673,0.0,True,,0.03677228112099999,-0.01869612050867832,0.04886917023921356,-0.03079300962689189,0.03079300962689189,False
2022-01-18,ensemble,0.017654463404988243,0.017654463404988243,0.017654463404988243,0.017654463404988243,0.0,True,,0.052072501636,-0.03441803823101176,0.04505292331157374,-0.027398459906585498,0.027398459906585498,True
2022-01-19,ensemble,0.01776909836866737,0.01776909836866737,0.01776909836866737,0.01776909836866737,0.0,True,,0.056806908964,-0.03903781059533263,0.04934055123104642,-0.03157145286237905,0.03157145286237905,True
2022-01-20,ensemble,0.01785999908558343,0.01785999908558343,0.01785999908558343,0.01785999908558343,0.0,True,,0.065396809984,-0.047536810898416576,0.04836048609271412,-0.03050048700713069,0.03050048700713069,True
2022-01-21,ensemble,0.018197730804424116,0.018197730804424116,0.018197730804424116,0.018197730804424116,0.0,True,,0.08322301825600001,-0.06502528745157589,0.04504068291594597,-0.026842952111521854,0.026842952111521854,True
2022-01-24,ensemble,0.020937661643546795,0.020937661643546795,0.020937661643546795,0.020937661643546795,0.0,True,,0.08932327690000001,-0.06838561525645322,0.04866918919277574,-0.027731527549228946,0.027731527549228946,True
2022-01-25,ensemble,0.018592995187864624,0.018592995187864624,0.018592995187864624,0.018592995187864624,0.0,True,,0.09734712002499998,-0.07875412483713536,0.04953578138853969,-0.030942786200675063,0.030942786200675063,True
2022-01-26,ensemble,0.0199060677334243,0.0199060677334243,0.0199060677334243,0.0199060677334243,0.0,True,,0.102359044096,-0.0824529763625757,0.05517555134613256,-0.03526948361270826,0.03526948361270826,True
