date,symbol,high,low,open,close,volume,sector
2019-01-02,XLK,61.57676592872259,59.83970861600885,59.918663884099786,61.21158981323242,15442900.0,Information Technology
2019-01-02,XLY,98.97956281818311,95.49673051169985,96.01964765313284,98.42704772949219,6840800.0,Consumer Discretionary
2019-01-02,XLP,49.285431166156,48.61388929744975,48.89613298490262,49.12971115112305,20459000.0,Consumer Staples
2019-01-02,XLE,55.15525369458053,52.60689035673783,52.8785884025537,54.78986358642578,24892600.0,Energy
2019-01-02,XLF,23.585426835090143,22.928915078576342,22.99750555226506,23.536434173583984,62945000.0,Financials
2019-01-02,XLU,51.158543562342366,50.130720723023536,51.110061981056916,50.43130874633789,25173900.0,Utilities
2019-01-02,XLB,49.92148738831049,48.48172584931479,48.75596471913326,49.73539352416992,9096300.0,Materials
2019-01-02,XLRE,29.904999502693386,29.187667492526725,29.856529999283303,29.362154006958008,10445000.0,Real Estate
2019-01-02,XLC,41.672479788965994,40.17054612238821,40.249854216403044,41.4692497253418,4625800.0,Communication Services
2019-01-02,XLI,63.486012204373246,61.820226316761804,62.182778506502736,63.437015533447266,14687500.0,Industrials
2019-01-02,XLV,83.90027183733052,82.3753405015781,83.26488440225548,83.28443145751953,14179900.0,Health Care
2019-01-02,SPY,246.54152719413491,241.37926929829263,241.40871058114024,245.53065490722656,126925200.0,
2019-01-03,XLK,59.6916658551434,58.04343547429213,59.652186336267235,58.12239074707031,24946700.0,Information Technology
2019-01-03,XLY,97.91399243620144,96.12817934594952,97.67720132854652,96.29590606689453,6346000.0,Consumer Discretionary
2019-01-03,XLP,49.54820741116132,48.769607367055016,49.042116454327754,48.84746551513672,22074800.0,Consumer Staples
2019-01-03,XLE,55.145886127760484,53.6281104618,54.949138158355495,54.246463775634766,18024100.0,Energy
2019-01-03,XLF,23.41885181009977,22.94851547838565,23.360060235873117,23.007307052612305,65729700.0,Financials
2019-01-03,XLU,50.84825486170107,50.18889502704993,50.4313066221744,50.42161178588867,21587500.0,Utilities
2019-01-03,XLB,49.470945897788916,48.22707463848762,49.470945897788916,48.325016021728516,9834000.0,Materials
2019-01-03,XLRE,29.982547691215505,29.32337726189733,29.33307116220171,29.49786376953125,9743800.0,Real Estate
2019-01-03,XLC,41.518815592371034,40.70588781665693,41.20157566925325,40.77528381347656,3433700.0,Communication Services
2019-01-03,XLI,62.996080361310305,61.23230846873942,62.996080361310305,61.50667190551758,25976200.0,Industrials
2019-01-03,XLV,83.57769615504846,81.37828309833665,83.40174281219703,81.59333801269531,17668000.0,Health Care
2019-01-03,SPY,243.9506056274122,239.1416577825917,243.6169127743474,239.671630859375,144140700.0,
2019-01-04,XLK,60.954973572070095,59.00078278434712,59.188308595702416,60.6983642578125,20767800.0,Information Technology
2019-01-04,XLY,100.21285254912347,97.40093487943308,97.59825952986813,99.48274230957031,7269100.0,Consumer Discretionary
2019-01-04,XLP,49.88884353637695,49.061581689515506,49.168639891201586,49.88884353637695,19003300.0,Consumer Staples
