Date,Strategy,SPY
2023-01-03,1.0,1.0
2023-01-04,1.0,1.007720201791125
2023-01-05,1.0,0.9962187211436329
2023-01-06,1.0,1.019064205977535
2023-01-09,1.0,1.0184865129247194
2023-01-10,1.0,1.025628686428412
2023-01-11,1.0,1.038600841338317
2023-01-12,1.0,1.0423822040033384
2023-01-13,1.0,1.0464260553730482
2023-01-17,1.0,1.0445091000274724
2023-01-18,1.0,1.0280184902005054
2023-01-19,1.0,1.020534545005331
2023-01-20,1.0,1.0395462029567355
2023-01-23,1.0,1.0520192773313848
2023-01-24,1.0,1.0508902071431454
2023-01-25,1.0,1.0512841916261408
2023-01-26,1.0,1.062837968873801
2023-01-27,1.0,1.0652801530547165
2023-01-30,1.0,1.0519144327050869
2023-01-31,1.0,1.0673809007787667
2023-02-01,1.0,1.0787249049651766
2023-02-02,0.9945886496143586,1.094427629634807
2023-02-03,0.9853815089604364,1.0827949046349705
2023-02-06,0.9867578392841744,1.0761776247320007
2023-02-07,0.9873451023303571,1.090252617721407
2023-02-08,0.9783314961186714,1.0783308366735271
2023-02-09,0.969580318219391,1.0689826517762153
2023-02-10,0.98205456401913,1.071477551600569
2023-02-13,0.9904780815681253,1.084055219175554
2023-02-14,0.9841226794561194,1.0835564738749146
2023-02-15,0.9852483504167553,1.0870752640265933
2023-02-16,0.9770905892528239,1.0721074574448985
2023-02-17,0.9877218109841639,1.0694291842853407
2023-02-21,0.9760510918395018,1.0479753421530207
2023-02-22,0.9732058383743307,1.0465313190426166
2023-02-23,0.9719857697346463,1.052098141274907
2023-02-24,0.9657333077294814,1.0408591493321033
2023-02-27,0.9622274176510003,1.04440417159252
2023-02-28,0.951575894779959,1.0405441964099387
2023-03-01,0.9434967078976965,1.0365527254490507
2023-03-02,0.9556920113910026,1.0446141960797328
2023-03-03,0.9720463762883468,1.0613675460373508
2023-03-06,0.9699876754934936,1.0621028831685573
2023-03-07,0.9521605404289949,1.0458220464028405
2023-03-08,0.9584783766511779,1.0475289772612038
2023-03-09,0.9410091497587032,1.028202198770326
2023-03-10,0.922939522920945,1.0133658879669378
2023-03-13,0.9332558473508817,1.0119214458132633
2023-03-14,0.9458474898489189,1.0286486474707972
2023-03-15,0.9498293367727801,1.022215243754956
2023-03-16,0.9576690251039234,1.0401502119269435
2023-03-17,0.9432022932622378,1.0279879838504073
2023-03-20,0.9503961557213287,1.0378727117513642
2023-03-21,0.9509359169458188,1.0515005017624117
2023-03-22,0.9260711118109863,1.033576177289497
2023-03-23,0.9207186689268207,1.036370274009042
2023-03-24,0.9372024889093719,1.0431708434385614
2023-03-27,0.9371670262659021,1.0451215736717456
2023-03-28,0.9365884749870411,1.0427755180171003
2023-03-29,0.9544950657284728,1.0579322293051707
2023-03-30,0.962791647023908,1.0641266107394756
2023-03-31,0.9718381661806177,1.0791250074799223
2023-04-03,0.9891572123345816,1.083237079094082
2023-04-04,0.9753545790178442,1.077227328124793
2023-04-05,0.9791109281932859,1.074406831679202
2023-04-06,0.9746081282478622,1.078597851045538
2023-04-10,0.9794688675100578,1.0797049633663993
2023-04-11,0.9879375050872287,1.0799950251182917
2023-04-12,0.9876983713628776,1.0755929755608935
2023-04-13,0.9960981702223652,1.0898797530192486
2023-04-14,0.9975685713581759,1.0872174873126268
2023-04-17,0.9994162621977178,1.0911186125443788
2023-04-18,1.0031234082946774,1.0918303994437788
2023-04-19,1.0018253025271926,1.091645768978763
2023-04-20,0.9975149846150015,1.0856887336529126
2023-04-21,0.9914329060982815,1.0865322677565816
2023-04-24,0.9979450128943381,1.0876654445688725
2023-04-25,0.9787720359147919,1.0704001913519192
2023-04-26,0.9674538305335925,1.065866394590252
2023-04-27,0.9782029418301579,1.087085740108358
2023-04-28,0.9909475581675418,1.096364196205446
2023-05-01,0.991442960950673,1.0952570000759307
2023-05-02,0.9817023513048933,1.0829471849594978
2023-05-03,0.9740829786402231,1.075513944000063
2023-05-04,0.966889630376084,1.0678959887669583
2023-05-05,0.9852686467903878,1.0876654445688723
2023-05-08,0.9828346933617139,1.0879555063207647
2023-05-09,0.9780769170310155,1.0831842796419893
2023-05-10,0.9810803760337096,1.0882453166466948
2023-05-11,0.9744354523463649,1.0863477211002195
2023-05-12,0.9748200835642429,1.0849243149187278
2023-05-15,0.9818406532146934,1.0886673770288187
2023-05-16,0.972351119198766,1.0813919477650829
2023-05-17,0.9843813343531856,1.0945189810677927
2023-05-18,0.9954124687643902,1.1050626126074028
2023-05-19,0.9953149312992,1.1034546597695496
2023-05-22,0.9941504995672333,1.1039027008344493
2023-05-23,0.9801443607272118,1.091514021774494
2023-05-24,0.9698051406035987,1.0836062562154594
2023-05-25,0.9821238979043204,1.09299005979077
2023-05-26,0.9955085076108501,1.10714517385351
