,Strategy,SPY
Total Return,0.38355739006684564,1.001982912756365
CAGR,0.09824748260263716,0.22185448470167435
Annualized Volatility,0.15719667398071188,0.1516846470804797
Sharpe (rf=0),0.6742973456055774,1.3968649316367323
Max Drawdown,-0.19304100648428357,-0.18755226260622693
Positive Days,0.5257731958762887,0.56815578465063
